t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
6720,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6780,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6840,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6900,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6960,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7020,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7080,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7140,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7200,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7260,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
7320,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
